55275.2	16.948	0.029
55276.2	16.779	0.026
55277.2	16.564	0.024
55279.1	16.239	0.024
55280.2	16.118	0.022
55280.2	16.13	0.019
55281.3	15.991	0.021
55283.2	15.856	0.017
55283.2	15.858	0.02
55284.2	99.0	99.0
55285.2	15.744	0.016
55285.2	15.719	0.02
55286.2	15.709	0.016
55287.2	15.678	0.016
55288.2	99.0	99.0
55289.2	15.646	0.016
55290.2	15.68	0.016
55292.2	15.761	0.016
55294.2	15.859	0.019
55295.2	99.0	99.0
55296.2	15.989	0.02
55298.3	99.0	99.0
55301.2	16.409	0.022
55305.2	16.609	0.025
55307.2	16.775	0.027
55312.2	16.87	0.028
55324.3	99.0	99.0
55328.1	17.385	0.037
55335.1	99.0	99.0
55346.1	17.71	0.044
55352.1	99.0	99.0
55359.0	99.0	99.0
55389.0	18.412	0.06
