55769.23	99	99
55770.15	18.087	0.024
55776.32	99	99
55776.34	99	99
55777.21	99	99
55778.02	99	99
55778.75	99	99
55778.82	99	99
55780.14	99	99
55782.11	99	99
55782.64	99	99
55783.25	99	99
55783.27	16.866	0.011
55784.18	16.846	0.012
55785.08	16.813	0.022
55787.63	99	99
55788.2	16.796	0.013
55788.46	99	99
55788.8	99	99
55789.16	99	99
55790.53	99	99
55790.94	99	99
55791.54	99	99
55791.73	99	99
55792.13	99	99
55793.51	99	99
55793.98	99	99
55794.09	16.950	0.019
55794.68	99	99
55795.23	16.999	0.018
55795.63	99	99
55796.09	99	99
55797.59	99	99
55798.22	17.085	0.015
55799.63	99	99
55801.61	99	99
55802.24	17.210	0.017
55803.54	99	99
55805.27	17.297	0.017
55805.48	99	99
55807.65	99	99
55819.11	17.552	0.020
